Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
7.25393567255e-05 Uralsk, Kazakhstan
7.24725694917e-05 Treasure Cay, Bahamas
7.24334968849e-05 Dachuan Airport, China
7.23512272196e-05 Boutheon, France
7.21755072548e-05 Chuathbaluk Airport, United States
7.21653842253e-05 Ittoqqortoormiit Heliport, Greenland
7.20227138201e-05 Takoradi, Ghana
7.20143166485e-05 Salt Cay Airport, Turks and Caicos Islands
7.19423885802e-05 Nanyang Airport, China
7.17903065816e-05 Altai Airport, Mongolia
7.17903065816e-05 Bayankhongor Airport, Mongolia
7.17727186799e-05 Mae Hong Son, Thailand
7.17474285064e-05 Rock Springs Sweetwater County Airport, United States
7.15552534089e-05 Muren Airport, Mongolia
7.15079558241e-05 Mulu, Malaysia
7.14463340582e-05 Pobedilovo Airport, Russia
7.13373410607e-05 Fayetteville Regional Grannis Field, United States
7.13192010617e-05 Lichinga, Mozambique
7.09302063914e-05 Mataveri Intl, Chile
7.08330582931e-05 Belize City Municipal Airport, Belize
7.08330582931e-05 Dangriga Airport, Belize
7.0832689173e-05 Bathurst Airport, Australia
7.0832689173e-05 Griffith Airport, Australia
7.0832689173e-05 Narrandera Airport, Australia
7.0832689173e-05 Parkes Airport, Australia
7.0739635146e-05 Nanaimo, Canada
7.07281834543e-05 Hanamaki, Japan
7.06860118387e-05 Capitan Fap Guillermo Concha Iberico, Peru
7.06229512259e-05 Kemerovo, Russia
7.06107849765e-05 Altay Airport, China
7.0605515668e-05 Guanaja, Honduras
7.05820843499e-05 Maniwaki, Canada
7.05820843499e-05 Trenton, Canada
7.05820843499e-05 Hyvinkaa, Finland
7.05820843499e-05 Woensdrecht, Netherlands
7.05820843499e-05 Spangdahlem Ab, Germany
7.05820843499e-05 Grand Central, South Africa
7.05820843499e-05 Jwaneng, Botswana
7.05820843499e-05 Kayes Dag Dag, Mali
7.05820843499e-05 Nema, Mauritania
7.05820843499e-05 Renaison, France
7.05820843499e-05 Wanaka, New Zealand
7.05820843499e-05 Aeropuerto de Rafaela, Argentina
7.05820843499e-05 Masirah, Oman
7.05820843499e-05 Kadena Ab, Japan
7.05820843499e-05 Tandil, Argentina
7.05820843499e-05 Putao, Burma
7.05820843499e-05 Wainwright As, United States
7.05820843499e-05 Cape Romanzof Lrrs, United States
7.05820843499e-05 Pope Field, United States
7.05820843499e-05 Mc Clellan Afld, United States
7.05820843499e-05 Coleman A Young Muni, United States
7.05820843499e-05 Black Rock, United States
7.05820843499e-05 Riverside Muni, United States
7.05820843499e-05 Kendall Tamiami Executive, United States
7.05820843499e-05 Xewkija Heliport, Malta
7.05820843499e-05 Les Bases Airport, Guadeloupe
7.05820843499e-05 North West Santo Airport, Vanuatu
7.05820843499e-05 Tabora Airport, Tanzania
7.05820843499e-05 Lauriston Airport, Grenada
7.05820843499e-05 Stanley Airport, Falkland Islands
7.05820843499e-05 Pathein Airport, Burma
7.05820843499e-05 Boigu Airport, Australia
7.05820843499e-05 Bremerton National, United States
7.05820843499e-05 Oxnard - Ventura County, United States
7.05820843499e-05 Ely Airport, United States
7.05820843499e-05 Ketchikan harbor Seaplane Base, United States
7.05820843499e-05 Tadoule Lake Airport, Canada
7.05820843499e-05 Bonnyville Airport, Canada
7.05820843499e-05 Indigo Bay Lodge Airport, Mozambique
7.05820843499e-05 Zaranj Airport, Afghanistan
7.05820843499e-05 Kikai Airport, Japan
7.05820843499e-05 Borrego Valley Airport, United States
7.05820843499e-05 Machu Pichu Airport, Peru
7.05820843499e-05 Calgary Springbank Airport, Canada
7.05820843499e-05 Aeroclub Deva, Romania
7.05820843499e-05 Manitouwadge, Canada
7.05820843499e-05 Burke Lakefront Airport, United States
7.05820843499e-05 Clarksville-Montgomery County Regional Airport, United States
7.05309659202e-05 New Castle, United States
7.03958532339e-05 Pagadian, Philippines
7.02937931316e-05 Dumaguete, Philippines
7.01684911969e-05 Kandahar, Afghanistan
7.01433309237e-05 Changbaishan Airport, China
7.00031736253e-05 Erfurt, Germany
6.99029268468e-05 Stewart Intl, United States
6.98621663848e-05 Yamaguchi Ube, Japan
6.97712848217e-05 Hotan, China
6.96111018617e-05 Parma, Italy
6.95377421713e-05 Amami, Japan
6.95076536375e-05 Central, Russia
6.94222363376e-05 Östersund Airport, Sweden
6.93888969747e-05 Aeroporto Prefeito Octavio de Almeida Neves, Brazil
6.93044708676e-05 Westport, New Zealand
6.92778463035e-05 Bordj Badji Mokhtar Airport, Algeria
6.92344783667e-05 John A. Osborne Airport, Montserrat
6.9200330015e-05 Trà Nóc Airport, Vietnam
6.91783062005e-05 Bobo Dioulasso, Burkina Faso
6.91619169376e-05 Vanua Balavu Airport, Fiji
6.91619169376e-05 Lakeba Island Airport, Fiji
6.91619169376e-05 Cicia Airport, Fiji
6.91214010373e-05 Karuluk Airport, United States
6.91214010373e-05 Zachar Bay Seaplane Base, United States
6.90822962612e-05 Provincetown Muni, United States
6.90265612022e-05 Aurangabad, India
6.90265612022e-05 Vadodara, India
6.8992622659e-05 Corumba Intl, Brazil
6.88840360684e-05 Framnes, Norway
6.88786729779e-05 Beloyarsky, Russia
6.8850631881e-05 Simao Airport, China
6.87791537116e-05 Arnold Palmer Regional Airport, United States
6.87366442595e-05 Ravensthorpe Airport, Australia
6.86993040606e-05 Helena Rgnl, United States
6.86311536771e-05 Aro, Norway
6.84730439378e-05 Limbang, Malaysia
6.83237926025e-05 Fernando De Noronha, Brazil
6.83048538185e-05 Kronoberg, Sweden
6.82829535351e-05 Ponciano Arriaga Intl, Mexico
6.82756370314e-05 Porto Santo, Portugal
6.8244615178e-05 Humaita Airport, Brazil
6.82374894419e-05 Canaima, Venezuela
6.81344252694e-05 Villa Garzon Airport, Colombia
6.8025442096e-05 Grafton Airport, Australia
6.80036800082e-05 Kerikeri, New Zealand
6.79973356085e-05 Lourdes, France
6.79886375844e-05 Sanliurfa GAP, Turkey
6.79315536524e-05 Nakashibetsu, Japan
6.78090872017e-05 St Gallen Altenrhein, Switzerland
6.77903239709e-05 Ubon Ratchathani, Thailand
6.76778260575e-05 Chu Lai, Vietnam
6.75530971177e-05 Ulanhot Airport, China
6.74415675062e-05 Cocos Keeling Island Airport, Cocos (Keeling) Islands
6.74305190885e-05 Osvaldo Vieira International Airport, Guinea-Bissau
6.74087314794e-05 Ciudad Obregon Intl, Mexico
6.74087314794e-05 General Rodolfo Sanchez Taboada Intl, Mexico
6.73887564603e-05 Yuma Mcas Yuma Intl, United States
6.73637723737e-05 Columbia Rgnl, United States
6.73637723737e-05 Champaign, United States
6.73335643739e-05 Batna Airport, Algeria
6.72707758902e-05 Learmonth, Australia
6.72707758902e-05 Geraldton Airport, Australia
6.72707758902e-05 Newman Airport, Australia
6.72490414779e-05 Husavik, Iceland
6.72490414779e-05 Shearwater, Canada
6.72490414779e-05 Dauphin Barker, Canada
6.72490414779e-05 Old Crow, Canada
6.72490414779e-05 Buffalo Narrows, Canada
6.72490414779e-05 Wiarton, Canada
6.72490414779e-05 Swift Current, Canada
6.72490414779e-05 Akure, Nigeria
6.72490414779e-05 Altenburg Nobitz, Germany
6.72490414779e-05 Augsburg, Germany
6.72490414779e-05 Oberpfaffenhofen, Germany
6.72490414779e-05 Parnu, Estonia
6.72490414779e-05 Waddington, United Kingdom
6.72490414779e-05 Prince Mangosuthu Buthelezi, South Africa
6.72490414779e-05 Selebi Phikwe, Botswana
6.72490414779e-05 Kariba Intl, Zimbabwe
6.72490414779e-05 Mbuji Mayi, Congo (Kinshasa)
6.72490414779e-05 Kisimayu, Somalia
6.72490414779e-05 Iringa, Tanzania
6.72490414779e-05 Le Touquet Paris Plage, France
6.72490414779e-05 Chateaubernard, France
6.72490414779e-05 Champforgeuil, France
6.72490414779e-05 Bricy, France
6.72490414779e-05 Grottaglie, Italy
6.72490414779e-05 Imsik, Turkey
6.72490414779e-05 Tatry, Slovakia
6.72490414779e-05 Isla Mujeres, Mexico
6.72490414779e-05 Nogales Intl, Mexico
6.72490414779e-05 Reao, French Polynesia
6.72490414779e-05 Okushiri, Japan
6.72490414779e-05 Mary Airport, Turkmenistan
6.72490414779e-05 Bauru, Brazil
6.72490414779e-05 Ponta Pora, Brazil
6.72490414779e-05 Chile Chico, Chile
6.72490414779e-05 Bermejo, Bolivia
6.72490414779e-05 Akola, India
6.72490414779e-05 Kirkuk AB, Iraq
6.72490414779e-05 Ishurdi, Bangladesh
6.72490414779e-05 Nhatrang, Vietnam
6.72490414779e-05 Pinang Kampai, Indonesia
6.72490414779e-05 Melbourne Moorabbin, Australia
6.72490414779e-05 Perth Jandakot, Australia
6.72490414779e-05 Sacramento Mather, United States
6.72490414779e-05 Dover Afb, United States
6.72490414779e-05 Creech Afb, United States
6.72490414779e-05 Page Fld, United States
6.72490414779e-05 Buckley Afb, United States
6.72490414779e-05 Greenwood Leflore, United States
6.72490414779e-05 Jacksonville Nas, United States
6.72490414779e-05 Calexico Intl, United States
6.72490414779e-05 Palmdale Rgnl Usaf Plt 42, United States
6.72490414779e-05 Opa Locka, United States
6.72490414779e-05 Snohomish Co, United States
6.72490414779e-05 Westover Arb Metropolitan, United States
6.72490414779e-05 Oceana Nas, United States
6.72490414779e-05 Flugplatz Merzbrueck, Germany
6.72490414779e-05 Jomsom, Nepal
6.72490414779e-05 Obo Airport, Papua New Guinea
6.72490414779e-05 Parachinar Airport, Pakistan
6.72490414779e-05 Ahuas Airport, Honduras
6.72490414779e-05 Loubomo Airport, Congo (Brazzaville)
6.72490414779e-05 Uranium City Airport, Canada
6.72490414779e-05 Whistler/Green Lake Water Aerodrome, Canada
6.72490414779e-05 Grímsey Airport, Iceland
6.72490414779e-05 Mogilev Airport, Belarus
6.72490414779e-05 Tanjung Harapan Airport, Indonesia
6.72490414779e-05 Warukin Airport, Indonesia
6.72490414779e-05 Badu Island Airport, Australia
6.72490414779e-05 Leonora Airport, Australia
6.72490414779e-05 Mabuiag Island Airport, Australia
6.72490414779e-05 Oban Airport, United Kingdom
6.72490414779e-05 Neuchatel Airport, Switzerland
6.72490414779e-05 Brus Laguna Airport, Honduras
6.72490414779e-05 Stratton ANGB - Schenectady County Airpor, United States
6.72490414779e-05 Kerrville Municipal Airport, United States
6.72490414779e-05 Air Base, Switzerland
6.72490414779e-05 Newark Penn Station, United States
6.72490414779e-05 Northern Aroostook Regional Airport, United States
6.72490414779e-05 Colonia Sarmiento, Argentina
6.72490414779e-05 Brussels Gare du Midi, Belgium
6.72490414779e-05 Aeropuerto Internacional Valle del Conlara, Argentina
6.72490414779e-05 Abaiang Atoll Airport, Kiribati
6.72490414779e-05 Imbaimadai Airport, Guyana
6.72490414779e-05 Gurupi Airport, Brazil
6.72490414779e-05 Gjogur Airport, Iceland
6.72490414779e-05 Inishmaan Aerodrome, Ireland
6.72490414779e-05 Cecil Field, United States
6.72490414779e-05 First Flight Airport, United States
6.72490414779e-05 Lake Havasu City Airport, United States
6.72490414779e-05 Maiana Airport, Kiribati
6.72490414779e-05 Peleliu Airfield, Palau
6.72490414779e-05 Geelong Airport, Australia
6.72490414779e-05 Berlin Hauptbahnhof, Germany
6.72490414779e-05 Buchloe BF, Germany
6.72490414779e-05 Koln HBF, Germany
6.72490414779e-05 Paradise Island Seaplane Base, Bahamas
6.72490414779e-05 Thomasville Regional Airport, United States
6.72490414779e-05 Cairo-Grady County Airport, United States
6.72490414779e-05 Okaukuejo Airport, Namibia
6.72490414779e-05 Morrisville Stowe State Airport, United States
6.72490414779e-05 Apalachicola Regional Airport, United States
6.72490414779e-05 Waterbury-Oxford Airport, United States
6.72490414779e-05 Gbangbatok Airport, Sierra Leone
6.72490414779e-05 Kirkland Lake, Canada
6.72490414779e-05 Wellington Municipal, United States
6.72490414779e-05 Hiroshima-Nishi, Japan
6.72490414779e-05 Municipal Airport, United States
6.72490414779e-05 Brooks Field Airport, United States
6.72490414779e-05 Finger Lakes Regional Airport, United States
6.72490414779e-05 Robertson Field, United States
6.72490414779e-05 Wilkes-Barre Wyoming Valley Airport, United States
6.72490414779e-05 Bamyan Airport, Afghanistan
6.72490414779e-05 Wickenburg Municipal Airport, United States
6.72490414779e-05 Pecs, Hungary
6.72490414779e-05 Guyuan, China
6.72490414779e-05 Hayward Executive Airport, United States
6.71609745591e-05 Rock Sound, Bahamas
6.71321521065e-05 Vijayawada, India
6.71232197445e-05 Grand Case, Guadeloupe
6.70125115282e-05 Stockton Metropolitan, United States
6.69049396611e-05 Kzyl-Orda, Kazakhstan
6.6904287818e-05 New Kitakyushu, Japan
6.68963688834e-05 Golmud Airport, China
6.68920711201e-05 Havre City Co, United States
6.68884844632e-05 Lublin, Poland
6.68881158539e-05 Tindouf, Algeria
6.68881158539e-05 Béchar Boudghene Ben Ali Lotfi Airport, Algeria
6.67682319328e-05 Birjand, Iran
6.67682319328e-05 Ramsar, Iran
6.65624371745e-05 Mazar I Sharif, Afghanistan
6.65231367218e-05 Val De Loire, France
6.6474836095e-05 Noyabrsk, Russia
6.64201812209e-05 Kaadedhdhoo, Maldives
6.64201812209e-05 Gan Island Airport, Maldives
6.63945651726e-05 Sawyer International Airport, United States
6.63390323462e-05 Charlo, Canada
6.62784409221e-05 Gamal Abdel Nasser Airport, Libya
6.62393554387e-05 Decatur, United States
6.62221507396e-05 Morristown Municipal Airport, United States
6.62178094792e-05 Greenbrier Valley Airport, United States
6.61972856387e-05 Barau(Kalimaru) Airport, Indonesia
6.61589721029e-05 Friedman Mem, United States
6.61176579044e-05 Kruunupyy, Finland
6.60494611384e-05 Montrose Regional Airport, United States
6.59749108572e-05 Tsushima, Japan
6.59121081706e-05 Amaury Feitosa Tomaz Airport, Brazil
6.59102346926e-05 Youngstown Warren Rgnl, United States
6.58064124373e-05 Tunoshna, Russia
6.57193249307e-05 Obihiro, Japan
6.56867661889e-05 Gustavo Artunduaga Paredes, Colombia
6.56867661889e-05 Jorge E Gonzalez Torres, Colombia
6.56867661889e-05 Alfonso Lopez Pumarejo, Colombia
6.56867661889e-05 El Alcaraván Airport, Colombia
6.56413897971e-05 Durango La Plata Co, United States
6.55937620343e-05 Sveg, Sweden
6.55145814265e-05 San Salvador, Bahamas
6.54459313248e-05 Karlovy Vary, Czech Republic
6.54173117181e-05 Zhoubai, China
6.53931418806e-05 Kahramanmaras Airport, Turkey
6.53761241783e-05 Kalymnos Island, Greece
6.53274168273e-05 Cotopaxi International Airport, Ecuador
6.53239324208e-05 Anahim Lake Airport, Canada
6.53239324208e-05 Bella Coola Airport, Canada
6.52324077246e-05 Diu Airport, India
6.52266731039e-05 Grand Rapids Itasca County, United States
6.52008142155e-05 Walvis Bay Airport, Namibia
6.51948794371e-05 Mau Hau, Indonesia
6.50659965972e-05 Narathiwat, Thailand
6.50659965972e-05 Sakon Nakhon, Thailand
6.50659965972e-05 Loei, Thailand
6.50627250745e-05 Puerto Escondido Intl, Mexico
6.48683281917e-05 Agra, India
6.46744258352e-05 Nueva Loja Airport, Ecuador
6.46321745278e-05 Fukushima Airport, Japan
6.45558955173e-05 Enugu, Nigeria
6.45558955173e-05 Imo Airport, Nigeria
6.4484852093e-05 Hyakuri, Japan
6.44609146079e-05 Santa Rosa Airport, Brazil
6.44192503702e-05 Mid Delta Regional Airport, United States
6.43840797893e-05 Durham Tees Valley Airport, United Kingdom
6.4365730138e-05 Jiujiang Lushan Airport, China
6.43095301148e-05 Sannvhe, China
6.42030332486e-05 Montgomery Regional Airport , United States
6.41558736697e-05 Jorhat, India
6.40684941326e-05 Mersa Matruh, Egypt
6.40078286254e-05 Puerto Lempira Airport, Honduras
6.3808343187e-05 Gwadar, Pakistan
6.37651926097e-05 Tufi Airport, Papua New Guinea
6.37564844834e-05 Valesdir Airport, Vanuatu
6.37564844834e-05 Tongoa Island Airport, Vanuatu
6.37564844834e-05 Lamen Bay Airport, Vanuatu
6.37564844834e-05 Sangafa Airport, Vanuatu
6.37160823007e-05 Shanhaiguan Airport, China
6.3571176368e-05 Moruya Airport, Australia
6.35668546888e-05 Central Wisconsin, United States
6.35172367177e-05 Ford Airport, United States
6.35172367177e-05 Rhinelander Oneida County Airport, United States
6.35172367177e-05 Jamestown Regional Airport, United States
6.35172367177e-05 Devils Lake Regional Airport, United States
6.34830866141e-05 Gwangju, South Korea
6.3473326778e-05 Anqing Airport, China
6.34616637712e-05 King Island Airport, Australia
6.3331965774e-05 Evansville Regional, United States
6.33248929172e-05 Hrodno Airport, Belarus
6.31717341036e-05 Bonito Airport, Brazil
6.31529333846e-05 Vorkuta Airport, Russia
6.31369532518e-05 Point Baker Seaplane Base, United States
6.31369532518e-05 Coffman Cove Seaplane Base, United States
6.31151597347e-05 Navoi Airport, Uzbekistan
6.30528528544e-05 Presidente Prudente, Brazil
6.30251961166e-05 Pelican Seaplane Base, United States
6.28780294723e-05 Balimo Airport, Papua New Guinea
6.28145712117e-05 Puerto Penasco, Mexico
6.27667580546e-05 South Arkansas Rgnl At Goodwin Fld, United States
6.27667580546e-05 Memorial Field, United States
6.27489840552e-05 Manston, United Kingdom
6.26487196348e-05 Augusta Rgnl At Bush Fld, United States
6.26487196348e-05 Albert J Ellis, United States
6.25849840055e-05 Skagen, Norway
6.25811000293e-05 Herat, Afghanistan
6.25737266709e-05 Mundo Maya International, Guatemala
6.24882756184e-05 Salisbury Ocean City Wicomico Rgnl, United States
6.24520467205e-05 Hail, Saudi Arabia
6.24508737244e-05 Samaná El Catey International Airport, Dominican Republic
6.2219936627e-05 Bolzano, Italy
6.20947579711e-05 NAYPYITAW, Burma
6.205873985e-05 Casique Aramare, Venezuela
6.205873985e-05 San Tome, Venezuela
6.19363152472e-05 Richards Bay, South Africa
6.18224737801e-05 Grozny Airport, Russia
6.14955804193e-05 Harrison Marion Regional Airport, United States
6.1491267661e-05 Pointe Vele Airport, Wallis and Futuna
6.13061251895e-05 Nelson Lagoon, United States
6.13033898044e-05 Port Lincoln Airport, Australia
6.11298231636e-05 Yongzhou Lingling Airport, China
6.11268968846e-05 Lutselk'e Airport, Canada
6.11268968846e-05 Whatì Airport, Canada
6.10307405246e-05 Lankaran International Airport, Azerbaijan
6.09998243549e-05 Praslin, Seychelles
6.0974297877e-05 Proserpine Whitsunday Coast, Australia
6.0974297877e-05 Bundaberg, Australia
6.08987226824e-05 Burevestnik Airport, Russia
6.08963389023e-05 Mauke Airport, Cook Islands
6.08615130057e-05 Long Banga Airport, Malaysia
6.08538185614e-05 Longyan Airport, China
6.08520735504e-05 Weipa, Australia
6.07780631369e-05 Paulo Abdala Airport, Brazil
6.06657783668e-05 Erhac, Turkey
6.06627302141e-05 Mukah Airport, Malaysia
6.06079302055e-05 Humera Airport, Ethiopia
6.05741463446e-05 Altoona Blair Co, United States
6.05741463446e-05 John Murtha Johnstown-Cambria County Airport, United States
6.04637841969e-05 Vasteras, Sweden
6.04337346368e-05 Gary Chicago International Airport, United States
6.0405218637e-05 Korla Airport, China
6.03930117672e-05 Luderitz Airport, Namibia
6.03227492284e-05 Kulob Airport, Tajikistan
6.0312262738e-05 Muhammad Salahuddin, Indonesia
6.01922561781e-05 Sunyani, Ghana
6.01899659029e-05 Bhairahawa, Nepal
6.01899659029e-05 Dhangarhi, Nepal
6.01899659029e-05 Bharatpur Airport, Nepal
6.01899659029e-05 Chandragadhi Airport, Nepal
6.01370801571e-05 Sundsvall Harnosand, Sweden
6.00970612859e-05 Biskra, Algeria
6.00164146748e-05 Ogle, Guyana
5.99390977518e-05 Canadian Rockies Intl, Canada
5.99193293788e-05 Dimokritos, Greece
5.98450536808e-05 Pamplona, Spain
5.9834774377e-05 Utila Airport, Honduras
5.96843671147e-05 Tengchong Tuofeng Airport, China
5.96657354417e-05 Dongying Airport, China
5.95581360243e-05 Cheikh Larbi Tebessi, Algeria
5.95499088445e-05 Trang, Thailand
5.95499088445e-05 Nakhon Si Thammarat, Thailand
5.94812215808e-05 Longyear, Norway
5.94713375077e-05 Mardin Airport, Turkey
5.94261783986e-05 Abdul Rachman Saleh, Indonesia
5.93644761914e-05 Torrejon, Spain
5.93426870673e-05 Oulu, Finland
5.93188512896e-05 Cotabato, Philippines
5.93188512896e-05 Roxas Airport, Philippines
5.93188512896e-05 Naga Airport, Philippines
5.92346802758e-05 Masbate Airport, Philippines
5.92251690142e-05 Rafael Hernandez, Puerto Rico
5.91119824604e-05 Monbetsu, Japan
5.90979633457e-05 Binaka, Indonesia
5.90944993559e-05 Tirupati, India
5.90490328468e-05 H As Hanandjoeddin, Indonesia
5.90357989282e-05 Abu Simbel, Egypt
5.90097585521e-05 Sivas, Turkey
5.89856171259e-05 Gazipasa Airport, Turkey
5.88780931965e-05 Juan Casiano, Colombia
5.88568529754e-05 Garoua, Cameroon
5.87795751465e-05 Cedar City Rgnl, United States
5.87592179071e-05 Jolo Airport, Philippines
5.86593233424e-05 Francistown, Botswana
5.86071900396e-05 Bubung, Indonesia
5.86043762939e-05 Megeve Airport, France
5.85725899381e-05 Bahawalpur Airport, Pakistan
5.84959886176e-05 Vinnitsa, Ukraine
5.83716026353e-05 Lea Co Rgnl, United States
5.83520954341e-05 Southeast Texas Rgnl, United States
5.83520954341e-05 Joplin Rgnl, United States
5.82926566371e-05 Ciudad Del Carmen Intl, Mexico
5.82740109875e-05 Philibert Tsiranana, Madagascar
5.81451888519e-05 Hervey Bay Airport, Australia
5.81451888519e-05 Lord Howe Island Airport, Australia
5.8133259396e-05 Nouadhibou, Mauritania
5.80913559273e-05 Ghadames East, Libya
5.80251327051e-05 Bayannur, China
5.79633556727e-05 Central Nebraska Regional Airport, United States
5.78765124681e-05 Kerteh, Malaysia
5.78217260028e-05 Cruzeiro do Sul, Brazil
5.78137155917e-05 Lynchburg Regional Preston Glenn Field, United States
5.77336510018e-05 Iki, Japan
5.77274816808e-05 St Pierre Pierrefonds, Reunion
5.76802499525e-05 Petrozavodsk Airport, Russia
5.76802499525e-05 Kirovsk-Apatity Airport, Russia
5.76802499525e-05 Gorno-Altaysk Airport, Russia
5.76199884089e-05 Kufra, Libya
5.75857475392e-05 Igarka Airport, Russia
5.75628592511e-05 Jinzhou Airport, China
5.75291880533e-05 Columbus Metropolitan Airport, United States
5.7513597886e-05 Qingshan, China
5.74825549983e-05 Araxa Airport, Brazil
5.74752120431e-05 Aerotortuguero Airport, Costa Rica
5.74645769106e-05 Bijie Feixiong Airport, China
5.74220114459e-05 Chris Hadfield, Canada
5.74115054613e-05 Nyala Airport, Sudan
5.74115054613e-05 Geneina Airport, Sudan
5.73734754757e-05 Muskegon County Airport, United States
5.73723159048e-05 Esbjerg, Denmark
5.73588423572e-05 Wapenamanda Airport, Papua New Guinea
5.73588423572e-05 Mendi Airport, Papua New Guinea
5.72825948095e-05 Ngaoundere, Cameroon
5.7122950276e-05 Camilo Ponce Enriquez Airport, Ecuador
5.71118995002e-05 Gallivare, Sweden
5.71118995002e-05 Kiruna, Sweden
5.70828708215e-05 Coronel Carlos Ciriani Santa Rosa Intl, Peru
5.70666642031e-05 Ranai Airport, Indonesia
5.7050419962e-05 Shenandoah Valley Regional Airport, United States
5.70018661036e-05 Saint John, Canada
5.68330872294e-05 Manistee County-Blacker Airport, United States
5.67840328352e-05 Islita Airport, Costa Rica
5.67491879551e-05 Arutua, French Polynesia
5.67491879551e-05 Hao, French Polynesia
5.67142765773e-05 Red Deer Regional, Canada
5.66303739251e-05 Riviere Rouge - Mont-Tremblant International Inc. Airport, Canada
5.65960700685e-05 Mount Gambier Airport, Australia
5.65283999138e-05 Milos, Greece
5.65283999138e-05 Paros, Greece
5.63979220964e-05 Wajir, Kenya
5.63841162146e-05 Mopah, Indonesia
5.63618453659e-05 Campbeltown Airport, United Kingdom
5.63351858888e-05 Loudes, France
5.63351858888e-05 Aurillac, France
5.63351858888e-05 Lannion, France
5.63240599743e-05 Carpiquet, France
5.62461684534e-05 Deadmans Cay, Bahamas
5.62269252895e-05 Jiagedaqi Airport, China
5.61682573843e-05 Muan, South Korea
5.61110710754e-05 Mudgee Airport, Australia
5.60032838506e-05 Hays Regional Airport, United States
5.59765818091e-05 Mogador Airport, Morocco
5.59560029123e-05 Elmira Corning Rgnl, United States
5.59080387676e-05 Kittila, Finland
5.58378454665e-05 Capt Jose A Quinones Gonzales Intl, Peru
5.58378454665e-05 Coronel Fap Alfredo Mendivil Duarte, Peru
5.58378454665e-05 Capitan Carlos Martinez De Pinillos, Peru
5.58378454665e-05 Mayor General FAP Armando Revoredo Iglesias Airport, Peru
5.58378454665e-05 Alferez Fap David Figueroa Fernandini Airport, Peru
5.57994954722e-05 Pleurtuit, France
5.57967185986e-05 Carlos Manuel De Cespedes, Cuba
5.57967185986e-05 Sierra Maestra, Cuba
5.56477775326e-05 Kanas Airport, China
5.56334272193e-05 Tacheng Airport, China
5.56142032617e-05 Takapoto, French Polynesia
5.548600867e-05 Caumont, France
5.53591149461e-05 Ohrid, Macedonia
5.53208187262e-05 Anadolu Airport, Turkey
5.53160798267e-05 Orange Airport, Australia
5.53090032367e-05 Lafayette Rgnl, United States
5.53090032367e-05 Robert Gray Aaf, United States
5.53090032367e-05 Alexandria Intl, United States
5.52499317843e-05 San Rafael, Argentina
5.52499317843e-05 Catamarca, Argentina
5.52499317843e-05 Santiago Del Estero, Argentina
5.52499317843e-05 La Rioja, Argentina
5.52499317843e-05 Corrientes, Argentina
5.52499317843e-05 Formosa, Argentina
5.52499317843e-05 Posadas, Argentina
5.52499317843e-05 Esquel, Argentina
5.52499317843e-05 Gobernador Castello, Argentina
5.52499317843e-05 El Tehuelche, Argentina
5.52499317843e-05 Rio Grande, Argentina
5.52499317843e-05 Aviador C Campos, Argentina
5.52426560084e-05 Banmaw Airport, Burma
5.52135406413e-05 El Embrujo, Colombia
5.52114270626e-05 Santa Maria, Portugal
5.51825524287e-05 El Eden, Colombia
5.50807727354e-05 Sovetsky Tyumenskaya Airport, Russia
5.50632444418e-05 Thandwe, Burma
5.50613767405e-05 Banja Luka International Airport, Bosnia and Herzegovina
5.49982626896e-05 Yushu Batang, China
5.49542098918e-05 Taba Intl, Egypt
5.49507238606e-05 Natrona Co Intl, United States
5.49401568451e-05 Babo, Indonesia
5.46827221743e-05 Egal Intl, Somalia
5.46522424185e-05 Garons, France
5.46448108729e-05 Pleiku Airport, Vietnam
5.45551777492e-05 La Crosse Municipal, United States
5.45511708552e-05 Nan, Thailand
5.44388634343e-05 Rach Gia, Vietnam
5.42127363506e-05 Craven Co Rgnl, United States
5.41094746851e-05 San Luis County Regional Airport, United States
5.41031943763e-05 Ulsan, South Korea
5.41031943763e-05 Pohang, South Korea
5.40584421025e-05 Tin City LRRS Airport, United States
5.39528154917e-05 Al Baha, Saudi Arabia
5.39528154917e-05 Bisha, Saudi Arabia
5.37967083183e-05 Andizhan Airport, Uzbekistan
5.36963112953e-05 Semipalatinsk, Kazakhstan
5.36074315923e-05 Sittwe, Burma
5.35610215009e-05 Esperance Airport, Australia
5.35353953501e-05 Barinas, Venezuela
5.34813301176e-05 Hilton Head, United States
5.31696009843e-05 Hoedspruit Afb, South Africa
5.31696009843e-05 Kimberley, South Africa
5.31696009843e-05 Upington, South Africa
5.30473120902e-05 Vatry, France
5.30182843875e-05 Ust-Kut, Russia
5.2691787451e-05 Dumatubun Airport, Indonesia
5.26430155077e-05 Capitán de Av. Emilio Beltrán Airport, Bolivia
5.22932860457e-05 Ilorin, Nigeria
5.21559520136e-05 Jabalpur, India
5.20734189879e-05 Yonago Kitaro, Japan
5.2059832186e-05 Jixi Airport, China
5.17028937754e-05 Abakan, Russia
5.16967651249e-05 Bakalalan Airport, Malaysia
5.14509634484e-05 Lensk, Russia
5.14474265051e-05 Rajkot, India
5.14043888451e-05 Pluguffan, France
5.13734230135e-05 Jose Celestino Mutis, Colombia
